id,created_at,updated_at,course_id,place_id,user_id
280,2023-11-29 09:24:25.867729,2023-11-29 09:24:25.867759,,1729,26
281,2023-11-29 09:24:29.876229,2023-11-29 09:24:29.876258,,1853,26
282,2023-11-29 09:24:34.662727,2023-11-29 09:24:34.662757,,1597,26
283,2023-11-29 09:24:37.433143,2023-11-29 09:24:37.433176,,1174,25
285,2023-11-29 09:24:45.043972,2023-11-29 09:24:45.044005,,1660,26
286,2023-11-29 09:24:46.541438,2023-11-29 09:24:46.541469,,1557,26
288,2023-11-29 09:24:57.532785,2023-11-29 09:24:57.532816,,1033,25
289,2023-11-29 09:25:04.973433,2023-11-29 09:25:04.973463,,227,26
290,2023-11-29 09:25:13.946302,2023-11-29 09:25:13.946332,,936,26
291,2023-11-29 09:25:19.200074,2023-11-29 09:25:19.200106,,1625,25
292,2023-11-29 09:25:27.205465,2023-11-29 09:25:27.205495,,4,26
293,2023-11-29 09:25:27.601425,2023-11-29 09:25:27.601456,,6,26
294,2023-11-29 09:25:28.300517,2023-11-29 09:25:28.300547,,5,26
295,2023-11-29 09:25:34.363869,2023-11-29 09:25:34.363901,,1791,25
296,2023-11-29 09:25:57.049887,2023-11-29 09:25:57.049921,,1341,25
297,2023-11-29 09:26:32.911162,2023-11-29 09:26:32.911195,,1230,25
298,2023-11-29 09:27:03.029920,2023-11-29 09:27:03.029954,,1821,25
299,2023-11-29 09:27:41.925710,2023-11-29 09:27:41.925747,,1341,22
300,2023-11-29 09:28:15.399390,2023-11-29 09:28:15.399424,,210,25
301,2023-11-29 09:32:13.436012,2023-11-29 09:32:13.436044,,1797,14
302,2023-11-29 09:32:22.364182,2023-11-29 09:32:22.364212,,1557,14
303,2023-11-29 09:36:27.510068,2023-11-29 09:36:27.510099,,1557,27
304,2023-11-29 09:36:50.686190,2023-11-29 09:36:50.686258,,1797,27
305,2023-11-29 09:36:53.920306,2023-11-29 09:36:53.920339,,1625,27
306,2023-11-29 09:37:15.936631,2023-11-29 09:37:15.936663,,235,27
307,2023-11-29 09:37:19.625478,2023-11-29 09:37:19.625510,,1722,27
308,2023-11-29 09:37:20.496819,2023-11-29 09:37:20.496852,,230,27
309,2023-11-29 09:37:23.750777,2023-11-29 09:37:23.750811,,1821,27
310,2023-11-29 09:37:31.649242,2023-11-29 09:37:31.649275,,280,27
311,2023-11-29 09:37:34.470939,2023-11-29 09:37:34.470970,,210,27
